#FID IID PC1_AVG PC2_AVG PC3_AVG PC4_AVG PC5_AVG
NA18572 NA18572 -0.0309749 -0.04881 -0.0159898 0.00599567 -0.00471648
NA18573 NA18573 -0.00212887 -0.0376574 0.00708907 0.00235506 -0.00635025
NA18574 NA18574 -0.0308992 -0.0514107 -0.0216245 -0.00479136 0.0227622
NA18577 NA18577 -0.0164322 -0.0487804 -0.00366809 0.0120729 0.0095154
NA18579 NA18579 -0.0278454 -0.0535698 0.00228929 0.000981139 0.00454613
NA18582 NA18582 0.00438506 -0.0293856 0.0101671 0.0198006 -0.0079037
NA18591 NA18591 -0.00252907 -0.0350811 0.00879798 -0.00339406 0.0160946
NA18592 NA18592 -0.0287744 -0.054871 0.0124959 0.00391366 0.0129011
NA18593 NA18593 -0.0185368 -0.0488929 0.0132484 0.0136641 0.0199259
NA18595 NA18595 -0.0319352 -0.0614224 0.0113086 0.0131493 0.00434674
NA18596 NA18596 -0.0276388 -0.0644088 0.0232867 0.00568312 0.0209872
NA18597 NA18597 -0.028048 -0.056404 0.0175241 0.00563298 0.00827361
NA18599 NA18599 -0.0287174 -0.0585556 0.0127813 0.00945393 0.0129571
NA18602 NA18602 -0.0258608 -0.0459589 -0.00013156 0.00305715 0.00361523
NA18603 NA18603 -0.00522371 -0.0444539 0.00917881 0.0165541 -0.004873
NA18605 NA18605 -0.0269411 -0.0568687 0.0154418 0.000270382 0.00959045
NA18606 NA18606 0.00713428 -0.0327616 0.0067785 0.0190781 -0.000374963
NA18608 NA18608 -0.0287067 -0.0564131 0.0217293 0.00564979 0.00715756
NA18609 NA18609 -0.0257516 -0.0501267 0.00187243 -0.0028481 -0.00762062
NA18610 NA18610 -0.0185619 -0.0482579 0.0133039 0.0059624 0.00504924
NA18611 NA18611 -0.0351871 -0.0509272 -0.037686 0.0165228 0.031891
NA18612 NA18612 -0.031907 -0.0515474 0.0101168 0.00378622 0.0164869
NA18613 NA18613 -0.0248186 -0.0474683 0.00567982 0.00472753 0.00329594
NA18614 NA18614 -0.0209374 -0.048967 0.0293981 -0.00111333 0.0212128
NA18615 NA18615 -0.0382007 -0.0441429 -0.0592995 -0.00420819 0.0533637
NA18616 NA18616 -0.00917883 -0.0269866 -0.0644406 0.00283428 0.0279443
NA18617 NA18617 -0.00496575 -0.0268605 -0.0313288 0.00671685 0.0382906
NA18618 NA18618 -0.0304215 -0.0412082 0.00549156 -0.00122998 0.0107205
NA18619 NA18619 -0.0274716 -0.0465043 0.0022836 0.000543228 0.0244534
NA18620 NA18620 -0.0289651 -0.0491765 -0.00164616 0.00778064 0.0280572
NA18621 NA18621 -0.0311242 -0.0523694 0.00548981 0.0141072 0.0247589
NA18622 NA18622 -0.0168837 -0.0484585 -0.00195964 0.00182255 0.031299
NA18623 NA18623 -0.0308921 -0.0547611 0.0164184 0.00570711 0.0122318
NA18624 NA18624 -0.0218317 -0.0568496 0.0109089 0.00702759 -0.014095
NA18625 NA18625 -0.0284408 -0.0498786 0.0242281 -0.00471682 0.0202978
NA18626 NA18626 -0.0292319 -0.0519369 0.0280224 -0.0153103 0.0288313
NA18627 NA18627 -0.00195606 -0.0329424 0.0158922 -0.00567796 0.00566644
NA18628 NA18628 0.0230769 -0.00366224 -0.0338755 0.00128604 -0.00469909
NA18629 NA18629 -0.0090439 -0.040795 0.0244301 -0.00408829 0.0247133
NA18630 NA18630 0.00755628 -0.0211907 -0.00064582 0.00691176 0.0118583
NA18631 NA18631 -0.0193212 -0.03006 -0.0923476 0.00214091 0.049243
NA18632 NA18632 0.00291394 -0.0344018 0.00460664 0.00460191 -0.00652546
NA18633 NA18633 -0.0202931 -0.044904 0.0199442 0.00295223 0.000547447
NA18634 NA18634 -0.0061287 -0.0289955 -0.0332714 0.00636007 0.0107688
NA18635 NA18635 -0.0306467 -0.0552582 0.0178804 0.00922315 0.0141605
NA18636 NA18636 0.00736182 -0.025578 0.00114377 0.00792364 -0.00913846
NA18637 NA18637 0.00116839 -0.0395064 0.00736654 0.0094634 0.00439181
NA18638 NA18638 -0.00262309 -0.037214 -0.0076052 0.0148714 0.0134047
NA18640 NA18640 -0.0286075 -0.0509528 0.0264531 -0.00804402 0.0311351
NA18641 NA18641 -0.0208889 -0.0485054 0.0207992 -0.00903252 0.0257237
NA18642 NA18642 -0.0281586 -0.0470332 0.0335062 -0.0116086 0.0277226
NA18643 NA18643 -0.0290783 -0.0512456 0.0233153 -0.015249 0.014445
NA18644 NA18644 -0.008733 -0.0353978 0.0203521 0.00270937 0.00316524
NA18645 NA18645 -0.00656372 -0.0373804 0.0133593 -0.00284574 0.0209947
NA18646 NA18646 -0.0282175 -0.0512986 0.0300443 -0.00697871 0.0331588
NA18647 NA18647 -0.0272945 -0.0499033 0.0209235 -0.00940035 0.0274019
NA18648 NA18648 -0.0275512 -0.0495598 0.0244289 -0.00669445 0.0282144
NA18740 NA18740 0.00618451 -0.0239104 0.00978761 -0.00815379 0.0191488
NA18745 NA18745 -0.0281047 -0.0485201 0.0333442 -0.00453217 0.00663667
NA18747 NA18747 -0.00706894 -0.0352836 0.0277844 -0.0101556 0.0208558
NA18748 NA18748 -0.00798088 -0.0385927 0.0213403 -0.00899745 0.0287683
NA18749 NA18749 -0.0273325 -0.0577509 0.0277178 -0.00626391 0.0185388
NA18757 NA18757 -0.026956 -0.053841 0.0299203 -0.00690278 0.0320814
NA18939 NA18939 -0.0830479 0.0377607 0.0418641 -0.0146833 -0.0286854
NA18940 NA18940 -0.0796562 0.0370273 0.0353823 0.00836686 -0.0452856
NA18941 NA18941 -0.0767309 0.0304192 0.0424076 0.000576542 -0.020083
NA18942 NA18942 -0.0768361 0.0383284 0.0293365 0.00382715 -0.0259485
NA18943 NA18943 -0.0615472 0.0231662 0.0223132 0.00497375 -0.0091048
NA18944 NA18944 -0.0772593 0.0275716 0.0356369 0.00312631 -0.021767
NA18945 NA18945 -0.0784182 0.0395598 0.0324503 -0.0017247 -0.012261
NA18946 NA18946 -0.0796155 0.0320206 0.035032 -0.00616175 -0.00879276
NA18947 NA18947 -0.078728 0.0372176 0.0292089 0.000584434 -0.0324588
NA18948 NA18948 -0.0727136 0.0280883 0.0316478 -0.000309444 -0.0270064
NA18949 NA18949 -0.0822062 0.0351747 0.0387456 -0.00516991 -0.0360875
NA18950 NA18950 -0.0914745 0.0414624 -0.0784296 0.0244216 0.075652
NA18951 NA18951 -0.0718106 0.0212178 0.0270117 0.00659847 -0.0233358
NA18952 NA18952 -0.0741422 0.0297647 0.0371616 -0.000854371 -0.0259802
NA18953 NA18953 -0.0829156 0.0350738 -0.0149762 0.00244652 0.00484076
NA18954 NA18954 -0.0585836 0.0220391 0.0332873 -0.00638501 -0.0164583
NA18956 NA18956 -0.0782209 0.0325316 0.0427584 -0.00528863 -0.0213804
NA18957 NA18957 -0.0788005 0.038687 0.0423312 -0.0118273 -0.0284093
NA18959 NA18959 -0.0772984 0.024365 0.0265466 -0.0134335 -0.00921345
NA18960 NA18960 -0.0765863 0.0295843 0.0300257 0.00283496 -0.0206591
NA18961 NA18961 -0.0825557 0.0339226 -0.0142437 0.000380073 0.0159493
NA18962 NA18962 -0.0750409 0.0265952 0.0372587 -0.0199593 -0.00575921
NA18964 NA18964 -0.0812657 0.0387383 0.00437304 0.00859171 -0.0134108
NA18965 NA18965 -0.0704414 0.0244517 0.0292054 0.000107195 -0.029981
NA18966 NA18966 -0.0826931 0.0421685 0.0435973 -0.0162232 -0.0277254
NA18967 NA18967 -0.0817537 0.0386918 0.037366 0.00144707 -0.0241028
NA18968 NA18968 -0.0856181 0.0385358 0.0502178 -0.0108549 -0.0203336
NA18969 NA18969 -0.0752368 0.0288852 0.0185352 -0.0039127 -0.0258012
NA18970 NA18970 -0.0802829 0.0332822 0.00496296 -0.0157289 -0.0393832
NA18971 NA18971 -0.0824798 0.037361 0.0412923 -0.0197684 -0.0043417
NA18972 NA18972 -0.0779983 0.0280431 0.0304023 -0.00657478 -0.0138314
NA18973 NA18973 -0.0774341 0.0305648 0.0386645 0.00585088 -0.0250495
NA18974 NA18974 -0.0775469 0.031448 0.0472132 -0.0151538 -0.0247055
NA18975 NA18975 -0.0787864 0.0375735 0.0466306 -0.0109416 -0.0144008
NA18976 NA18976 -0.0521701 -0.0195077 0.0442656 -0.01466 0.000888759
NA18977 NA18977 -0.0810221 0.0413023 -0.0184217 0.00105207 0.00305001
NA18978 NA18978 -0.0859062 0.0454411 0.0420634 -0.0163849 -0.0189414
NA18979 NA18979 -0.0732998 0.0277565 0.0361469 -0.0149355 -0.0149588
NA18980 NA18980 -0.0716234 0.0209246 0.0411659 0.00637202 -0.0146163
NA18981 NA18981 -0.0784985 0.0357493 0.0447539 -0.0182908 -0.0207356
NA18982 NA18982 -0.0876724 0.045465 -0.0609704 0.0232755 0.0562413
NA18983 NA18983 -0.10093 0.0546376 -0.0813598 0.0141196 0.0442428
NA18984 NA18984 -0.0896787 0.0465517 -0.0491544 0.0134827 0.0581339
NA18985 NA18985 -0.0800239 0.0351721 -0.00558703 0.0127053 0.0105895
NA18986 NA18986 -0.0981966 0.0542078 -0.0920864 0.0245887 0.0967999
NA18987 NA18987 -0.0815312 0.0359848 -0.0223863 0.00172892 -0.010631
NA18988 NA18988 -0.0973284 0.0496526 -0.121098 0.0222118 0.098792
NA18989 NA18989 -0.0958048 0.0515579 -0.0959595 0.0181409 0.0827511
NA18990 NA18990 -0.0776025 0.027888 0.00865411 0.00879622 -0.0282503
NA18991 NA18991 -0.0792913 0.0326191 0.0394935 0.0118552 -0.0121131
NA18992 NA18992 -0.0789477 0.0317987 0.0470886 -0.0102424 -0.0295441
NA18993 NA18993 -0.0793844 0.0350192 0.0386644 -0.00259497 -0.0180584
NA18994 NA18994 -0.0799381 0.0371686 0.033052 -0.00676365 -0.0145618
NA18995 NA18995 -0.0720073 0.0233672 0.0389516 -0.00871359 -0.0142592
NA18997 NA18997 -0.0749083 0.0327531 0.0341442 -0.00889646 -0.0152777
NA18998 NA18998 -0.083988 0.0420551 0.0404826 -0.00783804 -0.00729208
NA18999 NA18999 -0.0818707 0.0341658 -0.0229302 0.0101464 -0.00314789
NA19000 NA19000 -0.0956334 0.0527011 -0.0724811 0.0217868 0.0613304
NA19001 NA19001 -0.0725617 0.021558 0.033631 -0.0173083 -0.0138257
NA19002 NA19002 -0.0830093 0.0390094 -0.0279619 0.00447682 0.000711827
NA19003 NA19003 -0.084416 0.0372131 0.00526283 0.00690553 -0.00541732
NA19004 NA19004 -0.0916024 0.0444705 -0.0350344 0.00614825 0.0254291
NA19005 NA19005 -0.0814566 0.0326284 -0.0280804 0.00142695 0.0161475
NA19006 NA19006 -0.081636 0.035425 0.0225055 0.00356279 -0.0398823
NA19007 NA19007 -0.0810261 0.0350474 -0.006845 0.0011651 -0.00274404
NA19009 NA19009 -0.0802024 0.0338279 -0.0194794 0.00527931 -0.00180692
NA19010 NA19010 -0.0858205 0.0420906 -0.0223886 -0.0138679 -0.0214202
NA19011 NA19011 -0.0797656 0.0380222 0.0414443 0.00854777 -0.020988
NA19012 NA19012 -0.0857187 0.0413993 -0.0450214 0.00785316 0.0395463
NA19054 NA19054 -0.0887567 0.044071 -0.0629184 0.000423288 0.0359277
NA19055 NA19055 -0.082425 0.0320064 -0.0150276 0.00723914 -0.00175655
NA19056 NA19056 -0.089153 0.0445894 -0.00323611 0.0101626 -0.00175448
NA19057 NA19057 -0.0820279 0.036084 -0.0061107 0.00224494 -0.0160334
NA19058 NA19058 -0.0862411 0.0388632 -0.0564398 0.00991654 0.0351694
NA19059 NA19059 -0.0855322 0.0401134 -0.0164868 0.000747312 -0.0147175
NA19060 NA19060 -0.0831006 0.0318249 -0.0136315 0.00908778 0.00630044
NA19062 NA19062 -0.0790395 0.0344055 -0.00388228 0.00237337 -0.0141126
NA19063 NA19063 -0.0863438 0.046025 -0.0247044 -0.00310015 0.000796833
NA19064 NA19064 -0.0888393 0.0331696 -0.0658224 0.0075882 0.0261574
NA19065 NA19065 -0.0944083 0.0448417 -0.0932994 0.0158543 0.0648457
NA19066 NA19066 -0.0952198 0.0486443 -0.0855974 0.0162073 0.0565857
NA19067 NA19067 -0.0841775 0.036808 -0.0263504 0.00452842 0.000727773
NA19068 NA19068 -0.0890568 0.0441607 -0.0860289 0.0135193 0.0711442
NA19070 NA19070 -0.0809689 0.0310065 -0.0114937 0.0110583 -0.00418094
NA19072 NA19072 -0.0732243 0.0201548 0.0126131 0.0122698 0.000983255
NA19074 NA19074 -0.0777085 0.0274432 0.0221053 -0.00710953 -0.0321044
NA19075 NA19075 -0.0757384 0.0368523 0.00498926 0.00239438 -0.0184728
NA19076 NA19076 -0.0714956 0.0246421 0.0135345 0.00353147 -0.0202081
NA19077 NA19077 -0.0812261 0.0368229 0.0104002 -0.00385672 -0.014924
NA19078 NA19078 -0.0831808 0.0439989 0.0192302 -0.00462572 -0.0292552
NA19079 NA19079 -0.0826244 0.0371376 -0.00479245 -0.00207927 -0.00396833
NA19080 NA19080 -0.0732305 0.0281882 -0.0226125 -0.0102279 -0.0367844
NA19081 NA19081 -0.0805009 0.0342563 0.01344 0.00143896 -0.0182406
NA19082 NA19082 -0.0719461 0.0287579 0.0339731 0.00158698 -0.00678828
NA19083 NA19083 -0.0873124 0.0416324 -0.0356117 -0.00734347 0.0188407
NA19084 NA19084 -0.0790395 0.023414 -0.0336838 -0.00297717 -0.00377732
NA19085 NA19085 -0.0834236 0.0345143 0.0146865 0.00702377 -0.0289381
NA19086 NA19086 -0.0795777 0.0358548 0.039832 -0.00825624 -0.0166534
NA19087 NA19087 -0.0822605 0.0331626 -0.0454987 -0.0113984 2.81921e-05
NA19088 NA19088 -0.0871828 0.0434326 -0.0401876 0.0036101 -0.000168669
NA19089 NA19089 -0.0840818 0.036118 0.0363552 0.0087379 -0.0375212
NA19090 NA19090 -0.0735801 0.0261626 0.0321933 0.0065988 -0.0390569
NA19091 NA19091 -0.0816317 0.0414548 0.0322005 0.00371721 -0.0467192
